address,DonorName,date,time,amount,type ,volunteerID
1272 OLD BRIDLE. Oakville ON,Ruthy Fussen,12/12/2018,11:43 AM,352.12,Debit,4
1275 MONTROSE ABBEY. Oakville ON,Bonita Greschke,07/17/2019,11:06 AM,247.69,Debit,4
1089 MONTROSE ABBEY. Oakville ON,Lelah Ramey,10/25/2018,6:00 PM,261.28,Debit,4
427 MILTON. Oakville ON,Nevile Steljes,01/23/2019,7:35 PM,390.81,Debit,5
243 NORTH SERVICE. Oakville ON,Walker Bampforth,02/21/2019,5:45 PM,878.96,Credit,6
397 CALLAGHAN. Oakville ON,Kati Leidl,11/15/2018,2:07 PM,113.96,Cash,6
2325 MOODIE. Oakville ON,Shayna O'Corrigane,04/11/2019,7:52 PM,113.03,Cash,6
353 CARRIER. Oakville ON,Hazel MacElroy,03/11/2019,7:38 PM,606.58,Credit,5
424 ATWOOD. Oakville ON,Celesta Fairman,04/11/2019,2:17 PM,362.84,Debit,5
367 ATWOOD. Oakville ON,Joleen Blockwell,04/22/2019,1:46 PM,835.31,Credit,5
551 MARLATT. Oakville ON,Oralee Dabbs,08/31/2018,1:38 PM,331.14,Debit,4
370 RIVER GLEN. Oakville ON,Granny Spere,12/31/2018,12:16 PM,445.43,Debit,5
225 ROSS. Oakville ON,Brockie Waterfall,08/08/2018,8:30 PM,470.83,Debit,5
2240 MACLENNAN. Oakville ON,Lishe Nobbs,12/31/2018,1:24 PM,151.45,Cash,6
2447 NEW WOOD. Oakville ON,Woody Leathem,06/17/2019,12:57 PM,297.06,Cash,4
