address,DonorName,date,time,amount,type ,volunteerID
2715 ROSEWOOD Oakville ON,Lorrie Lewtey,07/16/2019,12:42 PM,900.56,Credit,1
2687 WYNTEN Oakville ON,Karalynn Roycraft,02/22/2019,7:03 PM,738.11,Credit,2
2900 APPLETON Oakville ON,Kayley Fawlkes,02/09/2019,3:56 PM,851.33,Credit,3
1415 WINTERBOURNE Oakville ON,Meade Shakesby,07/17/2019,10:31 AM,895.8,Credit,1
1373 HAZEL MCCLEARY Oakville ON,Ofilia Rollings,11/24/2018,8:14 AM,275.07,Debit,1
1150 GABLE Oakville ON,Inness Setchell,02/21/2019,2:48 PM,540.88,Credit,2
2021 SHADY GLEN Oakville ON,Lin Van Niekerk,10/30/2018,8:21 PM,533.03,Credit,3
46 RYLAND Oakville ON,Mikol Daly,09/15/2018,9:08 AM,343.46,Debit,3
55 CAMEO Oakville ON,Sybyl MacEveley,08/12/2018,6:24 PM,916.31,Credit,2
2329 BACCARO Oakville ON,Torin Joice,08/14/2018,2:19 PM,531.92,Debit,2
179 DIGBY Oakville ON,Israel Dizlie,09/12/2018,9:36 AM,902.9,Credit,3
184 CHEBUCTO Oakville ON,Antonie Hamments,06/16/2019,9:00 AM,661.23,Credit,1
189 CHEBUCTO Oakville ON,Alwin Bragginton,03/14/2019,9:07 AM,202.52,Debit,2
2345 DEVON Oakville ON,Consolata Abramamov,07/08/2019,8:59 AM,242.37,Cash,1
2290 DEVON Oakville ON,Cash Beall,03/04/2019,2:18 PM,786.61,Credit,3
2385 DEER RUN Oakville ON,Ruthy Fussen,12/12/2018,11:43 AM,352.12,Debit,4
2223 BENNINGTON Oakville ON,Bonita Greschke,07/17/2019,11:06 AM,247.69,Debit,4
250 ASH TREE Oakville ON,Lelah Ramey,10/25/2018,6:00 PM,261.28,Debit,4
2055 LAKESHORE Oakville ON,Nevile Steljes,01/23/2019,7:35 PM,390.81,Debit,5
2203 DEVON Oakville ON,Walker Bampforth,02/21/2019,5:45 PM,878.96,Credit,6
464 CANDLER Oakville ON,Kati Leidl,11/15/2018,2:07 PM,113.96,Cash,6
2058 DERAMORE Oakville ON,Shayna O'Corrigane,04/11/2019,7:52 PM,113.03,Cash,6
2126 DEVON Oakville ON,Hazel MacElroy,03/11/2019,7:38 PM,606.58,Credit,5
475 CARLTON Oakville ON,Celesta Fairman,04/11/2019,2:17 PM,362.84,Debit,5
2204 DUNEDIN Oakville ON,Joleen Blockwell,04/22/2019,1:46 PM,835.31,Credit,5
489 BROOKMILL Oakville ON,Oralee Dabbs,08/31/2018,1:38 PM,331.14,Debit,4
2254 CAROL Oakville ON,Granny Spere,12/31/2018,12:16 PM,445.43,Debit,5
369 CLAREMONT Oakville ON,Brockie Waterfall,08/08/2018,8:30 PM,470.83,Debit,5
469 BARCLAY Oakville ON,Lishe Nobbs,12/31/2018,1:24 PM,151.45,Cash,6
2176 DUNVEGAN Oakville ON,Woody Leathem,06/17/2019,12:57 PM,297.06,Cash,4
2479 BERYL Oakville ON,Robbi MacFayden,07/07/2019,7:49 PM,219.15,Debit,8
1184 JEFF Oakville ON,Wally MacKeig,01/17/2019,5:25 PM,961.8,Credit,8
1203 LANSDOWN Oakville ON,Charlean Miall,08/02/2018,2:15 PM,617.12,Credit,8
2377 SPRINGFIELD Oakville ON,Nicko Goucher,06/04/2019,5:36 PM,590.18,Credit,9
1119 GABLE Oakville ON,Arliene Perche,09/20/2018,12:23 PM,21.26,Cash,7
1208 THORESBY Oakville ON,Susan Lyosik,06/23/2019,9:39 AM,944.67,Credit,8
1119 THORESBY Oakville ON,Knox Osan,12/16/2018,6:46 PM,908.43,Credit,7
2767 TEAK Oakville ON,Shaylynn Potter,07/11/2019,6:50 PM,536.12,Credit,7
2919 REDBUD Oakville ON,Maxy Rottcher,09/04/2018,9:01 AM,680.14,Credit,7
2913 MULBERRY Oakville ON,Codie Yakovitch,06/26/2019,1:43 PM,180.16,Debit,9
1344 EDDIE SHAIN Oakville ON,Wallas Di Maggio,10/27/2018,1:31 PM,976.27,Credit,9
2775 COVENTRY Oakville ON,Darcie Snewin,11/24/2018,7:49 PM,795.55,Credit,9
405 BROOKMILL Oakville ON,Ophelie Fell,03/19/2019,8:37 AM,886.72,Credit,9
1399 LAKESHORE Oakville ON,Kamillah Eads,01/03/2019,8:03 PM,431.66,Debit,7
241 DUNWOODY Oakville ON,Lida Vel,11/08/2018,3:39 PM,587.57,Credit,8
1328 HILLHURST Oakville ON,Magnum Zukerman,10/07/2018,4:40 PM,559.54,Cash,10
1503 DEVON Oakville ON,Jana Readwing,03/04/2019,6:42 PM,982.99,Debit,11
1240 FALGARWOOD Oakville ON,Lexi Broomhead,07/27/2018,5:48 PM,319.68,Cash,12
1352 EDGEWARE Oakville ON,Corly Frise,01/23/2019,8:27 AM,406.62,Debit,12
1424 HARMSWORTH Oakville ON,Dela Bernhardsson,02/10/2019,7:58 PM,552.07,Credit,11
1011 FALGARWOOD Oakville ON,Ardath Loukes,08/19/2018,7:37 PM,43.43,Cash,10
1381 GROSVENOR Oakville ON,Hyacinth Pomfrett,04/23/2019,2:22 PM,859.67,Credit,12
1290 INGLEDENE Oakville ON,Traci Rosendall,02/27/2019,1:47 PM,676.42,Credit,11
1350 GROSVENOR Oakville ON,Felic Siman,09/02/2018,10:04 AM,682.95,Credit,11
1260 HART Oakville ON,Cad Hun,03/03/2019,2:22 PM,620.84,Credit,12
1010 LINCOLN Oakville ON,Robin Napoleone,01/13/2019,8:42 AM,218.9,Cash,10
